name,address,Latitude,Longitude,area,people
대성,"대전 중구 유등천동로 792, (중촌동)",36.3478,127.405,9575,196
신탄,"대전 대덕구 신탄진로738번길 121, (신탄진동, 신탄진자동차운전전문학원)",36.45,127.428,8676,384
(주)효성,"대전 서구 벌곡로1384번길 38, (가수원동)",36.3035,127.357,9360,308
신진,"울산 울주군 웅촌면 웅촌로 601",35.4807,129.218,9208,322
경남,"울산 남구 처용로 305, (부곡동, 경남자동차학원)",35.4949,129.343,9545,128
신삼성,"울산 남구 꽃대나리로 66, (야음동)",35.533,129.337,17301,629
신정,"울산 남구 온산로 804, (두왕동, 신정자동차학원)",35.4981,129.307,8081,240
호계,"울산 북구 산업로 1450, (신천동, 호계자동차학원)",35.6363,129.346,6909,168
언양,"울산 울주 언양 210",35.5694,129.126,9622,168
울산,"울산 북구 효성로 48, (효문동, 울산자동차학원)",35.562,129.37,9077,612
조치원문화,"세종시 조치원읍 새내로 223",36.6111,127.295,169,0
신관,"세종시 장군면 장기초교길 76-15",36.4927,127.212,210,0
세종시현대,"세종시 전동면 하노장5길 2",36.6524,127.27,196,0
안양,"경기 안양시 만안구 안양로 599, (석수동, 안양자동차운전전문학원)",37.4223,126.906,6546,255
수원현대,"경기 수원시 영통구 중부대로 452, (원천동)",37.2682,127.065,10793,280
신삼성,"경기 오산 내삼미 275-1",37.1498,127.077,25850,210
평택삼성,"경기 평택시 노루댕이1길 18-5, (장당동)",37.0444,127.064,11547,176
용인신갈,"경기 용인시 기흥구 백남준로 28-13, (상갈동, 뉴SK운전전문학원)",37.2687,127.114,15059,128
안성,"경기 안성시 대덕면 안성맞춤대로 1694-12",37.0615,127.257,14926,144
송탄역,"경기도 평택시 목천로 72-17, (신장동)",37.086,127.054,9821,56
이천,"경기 이천시 부발읍 황무로1605번길 109-73, (이천자동차운전전문학원)",37.2749,127.52,8268,56
서부,"경기 김포 양촌 석모 892-3",37.6842,126.569,9880,126
중앙,"경기 평택시 울성길 35 (신대동)",37.0039,127.072,7364,56
장호원,"경기 이천시 장호원읍 장여로 229-33, (장호원자동차학원)",37.1375,127.625,9661,56
뉴신진,"경기 여주군 여주읍 여주남로 236, (뉴신진자동차운전전문학원)",37.269,127.607,9074,56
단원,"경기 안산시 단원구 대선로 40-5, (대부북동, 안산자동차운전전문학원)",37.2674,126.567,14439,112
신동아,"경기 평택시 서탄면 발안로 927",37.1256,127.005,150514,135
동양,"경기 이천시 부발읍 중부대로 1732-3",37.288,127.498,7300,84
안성신진,"경기 안성시 중리길 30, (중리동, 신진자동차학원)",36.9863,127.272,7962,56
수원역,"경기 수원시 권선구 평동로 110, (평동)",37.2604,126.996,9589,84
신분당,"경기 용인시 처인구 모현면 오산로 13-64, (용인신분당자동차운전전문학원)",37.3331,127.162,9953,128
한강,"경기 김포시 통진읍 율마로300번길 153",37.6815,126.604,10131,192
아시아,"경기 화성시 경기대로 979, (병점동)",37.203,127.038,8610,78
수지풍덕,"경기 용인시 수지구 수풍로37번길 56, (풍덕천동)",37.3309,127.086,9485,150
모란,"경기 광주시 절골길 83, (장지동, 모란자동차운전전문학원)",37.4053,127.23,13610,272
용인,"경기 용인시 처인구 양지면 주북로 122",37.2476,127.245,6708,64
동부,"경기 광주시 오포읍 포은대로 332",37.3588,127.228,14008,32
수원원천,"경기 수원시 영통구 중부대로462번길 23, (원천동, 원천자동차운전학원)",37.2676,127.065,6909,128
한일,"경기 화성시 양감면 늠말길 3-5",37.1204,126.994,NULL,NULL
신현대,"경기 의왕시 경수대로 321, (오전동)",37.3543,126.967,19693,180
e삼성,"경기 용인 처인 남동 (e삼성자동차운전전문학원)",37.2243,127.212,12035,64
뉴삼성,"경기 수원시 권선구 매송고색로506번길 18, (오목천동)",37.2435,126.961,6814,105
화성향남,"경기 화성시 우정읍 3.1만세로 199-17",37.0912,126.829,18144,150
광원,"경기 양평군 양평읍 중앙로 244-26, (광원자동차운전전문학원)",37.489,127.515,6641,84
대동,"경기 평택 팽성 송화 220",36.9543,127.05,7139,126
서울광명,"경기 광명시 안현로 81, (하안동, 서울광명자동차운전전문학원)",37.4685,126.88,15967,425
공도삼성,"경기도 안성시 공도읍 봉기길 87",37.0002,127.187,9058,140
광주제일,"경기 광주시 곤지암읍 평촌길11번길 48, (광주제일자동차운전전문학원)",37.3543,127.333,9918,144
신진중동,"경기 부천시 원미구 평천로 651, (약대동, 신진중동자동차운전전문학원)",37.5153,126.775,108310,165
국제,"경기 광주시 오포읍 신현로 55-10",37.3617,127.153,8655,128
상록수,"경기 화성시 비봉면 하저자안로 207",37.1966,126.875,14648,192
유환,"경기 군포시 경수대로 453, (당정동, 유환자동차운전전문학원)",37.363,126.959,13120,150
(주)부천,"경기 부천시 오정구 성오로 157, (오정동, 부천자동차운전전문학원)",37.5266,126.797,6657,224
명학,"경기 안양시 만안구 덕천로48번길 71, (안양동, 명학자동차운전전문학원)",37.3868,126.94,21795,180
김포,"경기 김포시 양촌읍 김포대로 1682",37.6662,126.654,8781,144
e현대,"경기 시흥시 서해안로 584-1, (정왕동, e현대자동차운전전문학원)",37.3706,126.738,9995,160
성남,"경기 광주시 장지9길 140, (장지동, 성남자동차운전전문학원)",37.405,127.241,6741,90
뉴현대,"경기 안산시 단원구 영전로 76, (대부동동, 시화자동차운전전문학)",37.2513,126.597,10244,112
(주)하남21C,"경기 광주시 회안대로 982, (송정동, 하남21c자동차운전전문학원)",37.4323,127.263,12891,140
(주)안산대일,"경기 안산시 단원구 원포공원로 45, (초지동, 안산대일자동차운전전문학원)",37.3027,126.809,9552,168
이천제일,"경기 이천시 신둔면 원적로512번길 256-23, (이천제일자동차운전전문학원)",37.3125,127.451,11467,160
카카오,NULL,NULL,NULL,NULL,NULL
한빛,"경기 시흥시 봉화로 49, (정왕동, 한빛자동차운전전문학원)",37.3671,126.74,8647,169
평택안중,"경기도 평택시 안중읍 서동대로 1673-56",36.9936,126.929,9765,96
동일,"경기 남양주시 경춘로 679-14, (일패동, 동일자동차학원)",37.623,127.181,18115,308
신광,"경기 동두천시 벌마들로40번길 24-9, (상패동)",37.9036,127.04,21363,126
